Come va?;How's it going?
Cambiamo idea;Let's change our mind
Controlla di nuovo;Check again
I bambini giocano;The children are playing
In città;In the city
In classe;In the class
Chiudi la porta;Close the door
Fa freddo;It is cold
Vieni qui;Come here
È una cosa comune;It's a common thing
Completa il lavoro;Complete the work
Potrei venire;I could come
Il paese è bello;The country is beautiful
Naturalmente;Of course
Taglia il pane;Cut the bread
Fa buio;It's getting dark
Che giornata;What a day
È profondo;It is deep
L'ha fatto;He did it
Non l'ha fatto;He didn't do it
Diverso da ieri;Different from yesterday
A distanza;At a distance
Che cosa fai?;What do you do?
Lo fa spesso;He does it often
Il cane è simpatico;The dog is friendly
Non farlo;Don't do it
È già fatto;It's already done
Chiudi la porta;Close the door
Scendi qui;Go down here
Disegna qualcosa;Draw something
Il pavimento è asciutto;The floor is dry
Durante il giorno;During the day
Ognuno ha un compito;Each has a task
La mattina presto;Early in the morning
La Terra è rotonda;The Earth is round
È facile da fare;It is easy to do
Mangia qualcosa;Eat something
Uno o l'altro;Either one
Niente altro;Nothing else
Alla fine;In the end
Parla inglese?;Do you speak English?
È abbastanza buono;It's good enough
Anche lei è qui;She is also here
Non l'ha mai fatto;He never did it
Tutti sono qui;Everyone is here
Tutto è pronto;Everything is ready
Ecco un esempio;Here's an example
Guarda il viso;Look at the face
È un fatto;It's a fact
Non cadere;Don't fall
Famiglia numerosa;Big family
È lontano da qui;It's far from here
Va veloce;It goes fast
Padre e figlio;Father and son
Senti questo;Feel this
I piedi fanno male;Feet hurt
Si è sentito così;He felt this way
Pochi minuti;A few minutes
In mezzo al campo;In the field
Finalmente è finito;It's finally finished
Trova la soluzione;Find the solution
Va tutto bene;It's fine
Il fuoco è acceso;The fire is on
Prima di tutto;First of all
Un pesce piccolo;A small fish
Cinque persone;Five people
Sul pavimento;On the floor
Segui me;Follow me
Del buon cibo;Good food
Un piede avanti;One foot forward
Per favore;Please
Abbiamo trovato il posto;We found the place
Quattro amici;Four friends
Un caro amico;A dear friend
Dal fronte;From the front
È pieno;It's full
Un nuovo gioco;A new game
Gli ha dato tutto;He gave everything
Devi andare;You must go
Una ragazza carina;A nice girl
Dagli un regalo;Give him a gift
Un bicchiere d'acqua;A glass of water
Andiamo;Let's go
Sta andando bene;It is going well
L'oro è prezioso;Gold is precious
È andato via;He has gone
Buona giornata;Good day
L'ha preso;He got it
Un grande progetto;A great project
Il prato è verde;The grass is green
Sul terreno;On the ground
Un gruppo di amici;A group of friends
Diventerà grande;It will grow big
È proprio qui;It's right here
La montagna è alta;The mountain is high
Ha fatto tutto da solo;He did it all by himself
È la sua casa;It’s his home
Il cavallo è veloce;The horse is fast
Fa caldo oggi;It's hot today
Tra un'ora;In an hour
La casa è bella;The house is beautiful
Come funziona?;How does it work?
Comunque sia;However it may be
Cento persone;A hundred people
Io credo in te;I believe in you
Lo farò domani;I'll do it tomorrow
Sto per uscire;I'm about to leave
Il ghiaccio si scioglie;The ice melts
Una grande idea;A big idea
Se hai tempo;If you have time
È importante;It is important
Dentro casa;Inside the house
Invece di partire;Instead of leaving
Entra nella stanza;Go into the room
Il lavoro è finito;The job is done
È proprio così;It’s just like that
Non è così;It isn’t like that
Sta imparando;He is learning
È l'ultimo giorno;It's the last day
Se ne va domani;He leaves tomorrow
Rimani un po';Stay a while
La luce è accesa;The light is on
Mi piace;I like it
In fila;In line
Una lista di cose da fare;A list of things to do
È una piccola cosa;It's a little thing
Dove vivi?;Where do you live?
Ha vissuto qui;He lived here
Sto vivendo il momento;I am living the moment
Un lungo viaggio;A long journey
Guarda bene;Look closely
È troppo basso;It's too low
L'ha fatto con le sue mani;He made it with his hands
Siamo nella mappa;We are on the map
Ciò che conta;What matters
Forse posso venire;Maybe I can come
È proprio lui;It is really him
Potrebbe essere vero;It might be true
Pensa sempre positivo;Always think positive
Le manca;She misses it
Ho bisogno di aiuto;I need help
Il denaro è importante;Money is important
La luna è luminosa;The moon is bright
Domani mattina;Tomorrow morning
È una delle migliori;It's one of the best
Lei è una madre dolce;She is a sweet mother
L'ho trovato difficile;I found it difficult
Non ci sono molti;There aren't many
Il tempo è tutto;Time is everything
Ti chiami?;What’s your name?
Vicino alla scuola;Near the school
Mai dire mai;Never say never
Qualcosa di nuovo;Something new
Il prossimo passo;The next step
Di notte è tranquillo;It's quiet at night
Non c'è nulla;There is nothing
Ora possiamo iniziare;Now we can start
Questo è un inizio;This is a beginning
È sopra di noi;It is above us
Vieni dall'altra parte;Come across the way
Aggiungi il tuo nome;Add your name
Dopo cena;After dinner
Riprova ancora;Try again
Sono contro l'idea;I am against the idea
Cinque anni fa;Five years ago
C'è aria fresca;There is fresh air
È tutto per te;It's all for you
Quasi finito;Almost finished
Era da solo;He was alone
Vieni lungo la strada;Come along the road
È già iniziato;It has already started
Anche tu vieni?;Are you also coming?
Anche se è tardi;Although it is late
È sempre aperto;It is always open
Sono americano;I am American
Tra di noi;Among us
Un'altra volta;Another time
Rispondi alla domanda;Answer the question
Qualsiasi cosa va bene;Anything is fine
Siamo in zona;We are in the area
Intorno al mondo;Around the world
Come hai chiesto;As you asked
Sono a casa;I am at home
Vai via adesso;Go away now
Torna indietro;Come back
Un grande ballo;A big ball
Devi essere paziente;You must be patient
Il quadro è bellissimo;The picture is beautiful
Lui è diventato amico;He became a friend
È perché ci tieni;It’s because you care
Vuole diventare un medico;He wants to become a doctor
È già stato fatto;It has already been done
Andiamo prima;Let's go before
Ha iniziato il progetto;He began the project
Dietro il muro;Behind the wall
Essere onesti;Being honest
Sotto il livello;Below the level
Scommetto su di te;I bet on you
Questo è meglio;This is better
Tra i due amici;Between the two friends
Una grande opportunità;A big opportunity
La sua maglia è nera;His shirt is black
Il mare è blu;The sea is blue
Naviga su una barca;Sailing on a boat
Corpo forte;Strong body
Leggi questo libro;Read this book
Entrambi sono felici;Both are happy
Sul fondo del lago;At the bottom of the lake
In una scatola;In a box
Un ragazzo curioso;A curious boy
Porta il regalo;Bring the gift
L'ha portato lei;She brought it
Costruisci una casa;Build a house
La casa è stata costruita;The house was built
Ma perché ora?;But why now?
Accanto al fiume;By the river
Ti ha chiamato;He called you
È venuto da lontano;He came from afar
Non puoi farlo;You can't do it
Non posso venire;I can't come
Non può essere fatto;It cannot be done
Lui guida una macchina;He drives a car
Prenditi cura di te;Take care of yourself
Fai attenzione;Be careful
Porta il pacco;Carry the package
È al centro;It's in the center
Essere certi;To be certain
Cambiamo rotta;Let’s change course
Controlla la lista;Check the list
I bambini giocano;The children play
In città;In the city
Nella stessa classe;In the same class
Chiudi la finestra;Close the window
Fa freddo fuori;It's cold outside
Vieni qui;Come here
È un concetto comune;It’s a common concept
Completa il compito;Complete the task
Potrei venire più tardi;I could come later
Il paese è grande;The country is big
Durante il corso;During the course
Taglia il pane;Cut the bread
Giorno di sole;Sunny day
È molto profondo;It is very deep
Lui non ha detto nulla;He didn’t say anything
È diverso dagli altri;It is different from the others
La distanza è lunga;The distance is long
Cosa posso fare?;What can I do?
Lo fa sempre;He does it often
Un cane amichevole;A friendly dog
Non fare così;Don't do that
Ho finito tutto;I’m done with everything
La porta è aperta;The door is open
Andiamo giù;Let's go down
Disegna un cerchio;Draw a circle
È asciutto qui;It is dry here
Durante la notte;During the night
Ognuno ha un compito;Everyone has a task
Presto al mattino;Early in the morning
Il mondo è grande;The world is big
Mangiamo qualcosa;Let’s eat something
Scegli uno o l'altro;Choose either one
Qualcos'altro da dire?;Anything else to say?
Alla fine del giorno;At the end of the day
Lui parla inglese?;Does he speak English?
Basta così;That’s enough
Anche lui viene;He is also coming
Non l'ho mai visto;I’ve never seen it
Tutti sono pronti;Everyone is ready
Questo è un buon esempio;This is a good example
Guarda il suo viso;Look at his face
È un fatto vero;It’s a true fact
Attento a non cadere;Be careful not to fall
Una famiglia unita;A close family
È molto lontano;It is very far
È molto veloce;It is very fast
Suo padre è alto;His father is tall
Senti questo suono;Hear this sound
I piedi fanno male;Feet are hurting
Ha pochi amici;He has few friends
Campo da calcio;Football field
È finalmente finito;It’s finally finished
Devi trovare una soluzione;You must find a solution
Sto bene;I’m fine
Il fuoco brucia;The fire burns
Prima volta;First time
Pesce fresco;Fresh fish
Cinque giorni alla settimana;Five days a week
Sul pavimento della stanza;On the floor of the room
Segui la strada;Follow the road
Cibo delizioso;Delicious food
Un piede avanti;One foot forward
Per te;For you
Abbiamo trovato una risposta;We found an answer
Quattro persone in fila;Four people in line
Un caro amico;A dear friend
Davanti alla porta;In front of the door
È pieno di vita;It’s full of life
Giochiamo insieme;Let's play together
Le ha dato un consiglio;She gave her advice
Devi prendere una decisione;You must make a decision
Una ragazza amichevole;A friendly girl
Regalale un fiore;Give her a flower
Un bicchiere di vino;A glass of wine
Partiamo adesso;Let's go now
Sta andando alla grande;It’s going great
L'oro è prezioso;Gold is valuable
Se n'è andato;He has left
Buona serata;Have a nice evening
Ha ricevuto un regalo;He got a gift
Un grande sogno;A big dream
Il prato è verde;The lawn is green
Sulla terra;On the ground
Un gruppo di persone;A group of people
Sta crescendo in fretta;It’s growing quickly
Un piano semplice;A simple plan
Chiunque può partecipare;Anyone can participate
Viene sempre a trovarci;He always comes to visit us
Rimanere calmi;Stay calm
Non ci sono problemi;There are no problems
Posso aiutarti in questo?;Can I help you with that?
Il cielo è sereno;The sky is clear
Una nuova esperienza;A new experience
In un grande spazio;In a big space
Siamo in attesa;We are waiting
Guarda il cielo;Look at the sky
Spero di vederti;I hope to see you
Camminiamo insieme;Let's walk together
Ogni giorno è speciale;Every day is special
Due occhi blu;Two blue eyes
È molto luminoso;It is very bright
Tante parole;So many words
Spero di trovare;I hope to find
Cosa stai cercando?;What are you looking for?
Il tempo vola;Time flies
Dove sei stato?;Where have you been?
La mia vita;My life
Siamo stati felici;We were happy
Non dimenticarlo;Don't forget it
Siamo di ritorno;We are back
Un altro viaggio;Another trip
Un viaggio lungo;A long journey
Sento il vento;I feel the wind
Questa è una grande opportunità;This is a great opportunity
Sto cercando lavoro;I am looking for a job
Siamo qui per aiutarti;We are here to help you
Ci sono molte possibilità;There are many possibilities
Qualcosa di interessante;Something interesting
Cosa ne pensi?;What do you think?
Fai attenzione ai dettagli;Pay attention to the details
Ho sentito una voce;I heard a voice
Il treno arriva in tempo;The train arrives on time
Il sole splende;The sun is shining
Ho bisogno di una pausa;I need a break
Siamo d'accordo;We agree
Ogni cosa a suo tempo;Everything in its time
Non ti preoccupare;Don’t worry
Per favore, parla lentamente;Please speak slowly
Oggi è un giorno speciale;Today is a special day
Vieni a vedere;Come and see
I dettagli sono importanti;Details are important
Ogni momento conta;Every moment counts
La mia casa è la tua;My house is your house
Un amico sincero;A sincere friend
È passato molto tempo;A long time has passed
Siamo tutti diversi;We are all different
Tutto è possibile;Everything is possible
La vita è bella;Life is beautiful
Qual è il tuo nome?;What is your name?
Un ricordo speciale;A special memory
Il libro è sopra il tavolo;The book is on the table
La mia famiglia è qui;My family is here
Ci vediamo presto;See you soon
Loro sono pronti;They are ready
Una nuova avventura;A new adventure
Tutto va bene;Everything is fine
Siamo in contatto;We are in touch
La tua opinione conta;Your opinion matters
Questa è la mia opinione;This is my opinion
Ho voglia di mangiare;I feel like eating
Guarda quel pesce;Look at that fish
Non è mai troppo tardi;It is never too late
Ho visto un film;I saw a movie
Siamo tutti qui;We are all here
La strada è lunga;The road is long
Spero che tu stia bene;I hope you are well
È tempo di andare;It's time to go
C'è qualcosa che devo dire;There is something I need to say
La stagione è cambiata;The season has changed
Ricordati di sorridere;Remember to smile
Questa è una bellissima vista;This is a beautiful view
La festa è finita;The party is over
Abbiamo bisogno di più tempo;We need more time
Puoi venire con noi;You can come with us
La musica suona bene;The music sounds good
La tua voce è forte;Your voice is strong
Il cibo è pronto;The food is ready
Qual è il tuo film preferito?;What is your favorite movie?
Un viaggio memorabile;An unforgettable trip
Lui ha fatto un ottimo lavoro;He did a great job
Abbiamo trovato il posto;We found the place
La chiave è qui;The key is here
Fai del tuo meglio;Do your best
Il tuo aiuto è prezioso;Your help is valuable
Puoi contare su di noi;You can count on us
È un bel giorno;It's a beautiful day
Non posso aspettare;I can't wait
Loro sono un grande gruppo;They are a great group
Un viaggio in macchina;A road trip
Siamo in movimento;We are on the move
È stata un'esperienza unica;It was a unique experience
Il giardino è fiorito;The garden is blooming
Vivere nel momento;Living in the moment
Ci sarà un'altra occasione;There will be another chance
Un tempo meraviglioso;A wonderful time
Non posso crederci;I can't believe it
Un piccolo gesto;A small gesture
La tua presenza è importante;Your presence is important
Siamo qui per divertirci;We are here to have fun
Puoi scrivere qui;You can write here
L'acqua è fresca;The water is cool
Ci sono molte stelle;There are many stars
Il tuo sorriso illumina;Your smile brightens up
È la mia volta;It's my turn
Un bel ricordo;A nice memory
Le parole sono potenti;Words are powerful
La pioggia ci rinfresca;The rain refreshes us
Stiamo facendo progressi;We are making progress
Un attimo di pazienza;A moment of patience
Non dimenticare di sorridere;Don't forget to smile
La luna è alta;The moon is high
Il sole sorge;The sun rises
L'arte è espressione;Art is expression
Un regalo inaspettato;An unexpected gift
Vivere la vita al massimo;Live life to the fullest
La strada è piena;The street is crowded
Hanno fatto un buon lavoro;They did a good job
Vivi e lascia vivere;Live and let live
Siamo tutti insieme;We are all together
C'è sempre una soluzione;There is always a solution
Fai attenzione a quello che dici;Be careful what you say
Abbiamo superato le difficoltà;We have overcome the difficulties
Un amico fidato;A trusted friend
C'è un modo migliore;There is a better way
Ti ricordi di me?;Do you remember me?
Posso vedere il tuo sorriso?;Can I see your smile?
L'acqua scorre;The water flows
Ogni giorno è un'opportunità;Every day is an opportunity
I tuoi sogni sono importanti;Your dreams are important
Una nuova possibilità;A new opportunity
Siamo uniti nel nostro obiettivo;We are united in our goal
Il tempo è un buon maestro;Time is a good teacher
L'amore è una forza;Love is a force
Un'avventura indimenticabile;An unforgettable adventure
La verità è liberatoria;The truth is liberating
Puoi fidarti di me;You can trust me
La chiave del successo;The key to success
I bambini giocano felici;The children play happily
Il tuo coraggio è ammirabile;Your courage is admirable
Il sapore è delizioso;The flavor is delicious
Abbiamo una visione chiara;We have a clear vision
L'energia è contagiosa;The energy is contagious
Lavorare insieme;Working together
C'è sempre un domani;There is always tomorrow
Il tuo aiuto fa la differenza;Your help makes a difference
Il tempo cura tutto;Time heals all
Posso offrirti un consiglio?;Can I offer you some advice?
I fiori sbocciano in primavera;Flowers bloom in spring
È importante ascoltare;It is important to listen
Siamo tutti sulla stessa barca;We are all in the same boat
La gentilezza è una virtù;Kindness is a virtue
Ogni passo conta;Every step counts
Puoi fare la differenza;You can make a difference
Rimani sempre positivo;Stay positive always
La vita è una sfida;Life is a challenge
Il nostro viaggio continua;Our journey continues
Ci sono molte strade da percorrere;There are many roads to take
La bellezza è soggettiva;Beauty is subjective
Fai ciò che ami;Do what you love
Cerca sempre il meglio;Always seek the best
La saggezza viene con l'età;Wisdom comes with age
Un sorriso può cambiare tutto;A smile can change everything
La musica riempie l'anima;Music fills the soul
La passione è contagiosa;Passion is contagious
È tempo di fare la differenza;It's time to make a difference
La famiglia è fondamentale;Family is essential
Ogni persona ha una storia;Every person has a story
Non smettere mai di sognare;Never stop dreaming
    
