Hello;Ciao;Hola
Three;Tre;Tres
Four;Quattro;Cuatro
Five;Cinque;Cinco
Six;Sei;Seis
Seven;Sette;Siete
Eight;Otto;Ocho
Nine;Nove;Nueve
Ten;Dieci;Diez
Good;Buono;Bueno
Bad;Cattivo;Malo
Interesting;Interessante;Interesante
Boring;Noioso;Aburrido
Difficult;Difficile;Difícil
Easy;Facile;Fácil
Fast;Veloce;Rápido
Slow;Lento;Lento
Big;Grande;Grande
Small;Piccolo;Pequeño
Today;Oggi;Hoy
Tomorrow;Domani;Mañana
Yesterday;Ieri;Ayer
Here;Qui;Aquí
There;Lì;Allí
Now;Adesso;Ahora
Later;Più tardi;Luego
Always;Sempre;Siempre
Never;Mai;Nunca
Sometimes;A volte;A veces
How are you?;Come stai?;¿Cómo estás?
I'm fine, thank you.;Sto bene, grazie.;Estoy bien, gracias.
What’s your name?;Come ti chiami?;¿Cómo te llamas?
My name is John.;Mi chiamo John.;Me llamo John.
Nice to meet you.;Piacere di conoscerti.;Mucho gusto.
Where are you from?;Di dove sei?;¿De dónde eres?
I’m from Italy.;Sono italiano.;Soy de Italia.
Do you speak English?;Parli inglese?;¿Hablas inglés?
Yes, I speak English.;Sì, parlo inglese.;Sí, hablo inglés.
How old are you?;Quanti anni hai?;¿Cuántos años tienes?
I am 25 years old.;Ho 25 anni.;Tengo 25 años.
What do you do?;Che lavoro fai?;¿A qué te dedicas?
I work as a teacher.;Faccio l’insegnante.;Trabajo como maestro.
Do you study or work?;Studi o lavori?;¿Estudias o trabajas?
I study at the university.;Studio all’università.;Estudio en la universidad.
What time is it?;Che ore sono?;¿Qué hora es?
It’s 3 o'clock.;Sono le tre.;Son las tres.
Where do you live?;Dove vivi?;¿Dónde vives?
I live in Rome.;Vivo a Roma.;Vivo en Roma.
Can you help me?;Puoi aiutarmi?;¿Puedes ayudarme?
Yes, of course!;Sì, certo!;¡Sí, claro!
How much does it cost?;Quanto costa?;¿Cuánto cuesta?
It costs 10 euros.;Costa 10 euro.;Cuesta 10 euros.
Where is the bathroom?;Dov’è il bagno?;¿Dónde está el baño?
The bathroom is over there.;Il bagno è laggiù.;El baño está allá.
What’s the weather like?;Che tempo fa?;¿Qué tiempo hace?
It’s sunny today.;Oggi c’è il sole.;Hoy hace sol.
I’m hungry.;Ho fame.;Tengo hambre.
I’m thirsty.;Ho sete.;Tengo sed.
Can I have some water, please?;Posso avere dell’acqua, per favore?;¿Puedo tener agua, por favor?
I’m tired.;Sono stanco.;Estoy cansado.
Where are we going?;Dove andiamo?;¿A dónde vamos?
We are going to the park.;Andiamo al parco.;Vamos al parque.
What’s your favorite color?;Qual è il tuo colore preferito?;¿Cuál es tu color favorito?
My favorite color is blue.;Il mio colore preferito è il blu.;Mi color favorito es el azul.
What do you like to do?;Cosa ti piace fare?;¿Qué te gusta hacer?
I like to read books.;Mi piace leggere libri.;Me gusta leer libros.
Do you like music?;Ti piace la musica?;¿Te gusta la música?
Yes, I love music!;Sì, amo la musica!;¡Sí, me encanta la música!
Where is the supermarket?;Dov’è il supermercato?;¿Dónde está el supermercado?
The supermarket is near here.;Il supermercato è vicino.;El supermercado está cerca.
Can I pay by card?;Posso pagare con la carta?;¿Puedo pagar con tarjeta?
Yes, you can.;Sì, puoi.;Sí, puedes.
Do you have any pets?;Hai animali domestici?;¿Tienes mascotas?
Yes, I have a dog.;Sì, ho un cane.;Sí, tengo un perro.
What time do you wake up?;A che ora ti svegli?;¿A qué hora te despiertas?
I wake up at 7 am.;Mi sveglio alle 7.;Me despierto a las 7.
Do you like traveling?;Ti piace viaggiare?;¿Te gusta viajar?
Yes, I love to travel.;Sì, amo viaggiare.;Sí, me encanta viajar.
Where do you want to go?;Dove vuoi andare?;¿A dónde quieres ir?
I want to visit Spain.;Voglio visitare la Spagna.;Quiero visitar España.
Can you speak slowly?;Puoi parlare lentamente?;¿Puedes hablar despacio?
I don’t understand.;Non capisco.;No entiendo.
Could you repeat that?;Puoi ripeterlo?;¿Puedes repetirlo?
What’s the plan for today?;Qual è il piano per oggi?;¿Cuál es el plan para hoy?
We are going to the beach.;Andiamo in spiaggia.;Vamos a la playa.
Do you like swimming?;Ti piace nuotare?;¿Te gusta nadar?
Yes, I like swimming.;Sì, mi piace nuotare.;Sí, me gusta nadar.
Do you want to go out?;Vuoi uscire?;¿Quieres salir?
Yes, let’s go out!;Sì, usciamo!;¡Sí, salgamos!
Are you ready?;Sei pronto?;¿Estás listo?
I’m almost ready.;Sono quasi pronto.;Estoy casi listo.
Where do you want to eat?;Dove vuoi mangiare?;¿Dónde quieres comer?
Let’s eat at a restaurant.;Mangiamo al ristorante.;Comamos en un restaurante.
Do you need help?;Hai bisogno di aiuto?;¿Necesitas ayuda?
No, thank you.;No, grazie.;No, gracias.
Are you married?;Sei sposato?;¿Estás casado?
No, I’m single.;No, sono single.;No, estoy soltero.
What’s your phone number?;Qual è il tuo numero di telefono?;¿Cuál es tu número de teléfono?
My number is 123-456.;Il mio numero è 123-456.;Mi número es 123-456.
Do you like your job?;Ti piace il tuo lavoro?;¿Te gusta tu trabajo?
Yes, I like it a lot.;Sì, mi piace molto.;Sí, me gusta mucho.
What are you doing tomorrow?;Cosa fai domani?;¿Qué haces mañana?
I’m going to work.;Vado al lavoro.;Voy a trabajar.
I like this movie.;Mi piace questo film.;Me gusta esta película.
Can you drive?;Sai guidare?;¿Sabes conducir?
Yes, I have a car.;Sì, ho una macchina.;Sí, tengo un coche.
Where is the bus stop?;Dov’è la fermata dell’autobus?;¿Dónde está la parada de autobús?
The bus stop is around the corner.;La fermata è dietro l’angolo.;La parada está a la vuelta.
Do you like coffee?;Ti piace il caffè?;¿Te gusta el café?
Yes, I love coffee.;Sì, amo il caffè.;Sí, me encanta el café.
Can I sit here?;Posso sedermi qui?;¿Puedo sentarme aquí?
Yes, go ahead.;Sì, vai pure.;Sí, adelante.
What’s your favorite food?;Qual è il tuo cibo preferito?;¿Cuál es tu comida favorita?
I love pizza.;Amo la pizza.;Me encanta la pizza.
Are you busy?;Sei occupato?;¿Estás ocupado?
Yes, I have a lot of work.;Sì, ho molto lavoro.;Sí, tengo mucho trabajo.
I need to go now.;Devo andare adesso.;Tengo que irme ahora.
See you later.;Ci vediamo dopo.;Nos vemos más tarde.
Take care!;Abbi cura di te!;¡Cuídate!
Where is the exit?;Dov’è l’uscita?;¿Dónde está la salida?
The exit is to your right.;L’uscita è alla tua destra.;La salida está a tu derecha.
Is this your first time here?;È la tua prima volta qui?;¿Es tu primera vez aquí?
Yes, it’s my first time.;Sì, è la mia prima volta.;Sí, es mi primera vez.
What are your hobbies?;Quali sono i tuoi hobby?;¿Cuáles son tus pasatiempos?
I like to play soccer.;Mi piace giocare a calcio.;Me gusta jugar al fútbol.
Do you need a hand?;Hai bisogno di una mano?;¿Necesitas una mano?
I will call you later.;Ti chiamerò più tardi.;Te llamaré más tarde.
Are you sure?;Sei sicuro?;¿Estás seguro?
Yes, I’m sure.;Sì, sono sicuro.;Sí, estoy seguro.
What’s your favorite sport?;Qual è il tuo sport preferito?;¿Cuál es tu deporte favorito?
I like tennis.;Mi piace il tennis.;Me gusta el tenis.
I’m lost.;Mi sono perso.;Estoy perdido.
Can you show me the way?;Puoi indicarmi la strada?;¿Puedes mostrarme el camino?
Do you want something to drink?;Vuoi qualcosa da bere?;¿Quieres algo de beber?
Let’s have a coffee.;Prendiamo un caffè.;Tomemos un café.
What time does it open?;A che ora apre?;¿A qué hora abre?
It opens at 9 am.;Apre alle 9.;Abre a las 9.
Where can I buy a ticket?;Dove posso comprare un biglietto?
I’m going to work.;Vado al lavoro.;Voy a trabajar.
I like this movie.;Mi piace questo film.;Me gusta esta película.
Can you drive?;Sai guidare?;¿Sabes conducir?
Yes, I have a car.;Sì, ho una macchina.;Sí, tengo un coche.
Where is the bus stop?;Dov’è la fermata dell’autobus?;¿Dónde está la parada de autobús?
The bus stop is around the corner.;La fermata è dietro l’angolo.;La parada está a la vuelta.
Do you like coffee?;Ti piace il caffè?;¿Te gusta el café?
Yes, I love coffee.;Sì, amo il caffè.;Sí, me encanta el café.
Can I sit here?;Posso sedermi qui?;¿Puedo sentarme aquí?
Where is your house?;Dov’è la tua casa?;¿Dónde está tu casa?
My house is near the park.;La mia casa è vicino al parco.;Mi casa está cerca del parque.
Are you busy?;Sei occupato?;¿Estás ocupado?
Yes, I have a lot of work.;Sì, ho molto lavoro.;Sí, tengo mucho trabajo.
Do you like music?;Ti piace la musica?;¿Te gusta la música?
Yes, I play the guitar.;Sì, suono la chitarra.;Sí, toco la guitarra.
What time is it?;Che ore sono?;¿Qué hora es?
It’s two o’clock.;Sono le due.;Son las dos.
Is it far from here?;È lontano da qui?;¿Está lejos de aquí?
No, it’s very close.;No, è molto vicino.;No, está muy cerca.
How was your day?;Com’è stata la tua giornata?;¿Cómo fue tu día?
It was good, thank you.;È andata bene, grazie.;Fue bueno, gracias.
Do you need help?;Hai bisogno di aiuto?;¿Necesitas ayuda?
Yes, please.;Sì, per favore.;Sí, por favor.
Where do you work?;Dove lavori?;¿Dónde trabajas?
I work in an office.;Lavoro in un ufficio.;Trabajo en una oficina.
Are you married?;Sei sposato?;¿Estás casado?
No, I am single.;No, sono single.;No, estoy soltero.
Do you have any siblings?;Hai fratelli?;¿Tienes hermanos?
Yes, I have a brother.;Sì, ho un fratello.;Sí, tengo un hermano.
Where did you grow up?;Dove sei cresciuto?;¿Dónde creciste?
I grew up in Italy.;Sono cresciuto in Italia.;Crecí en Italia.
Do you want to go out tonight?;Vuoi uscire stasera?;¿Quieres salir esta noche?
Yes, where should we go?;Sì, dove andiamo?;Sí, ¿a dónde vamos?
What is your favorite color?;Qual è il tuo colore preferito?;¿Cuál es tu color favorito?
My favorite color is blue.;Il mio colore preferito è il blu.;Mi color favorito es el azul.
Do you have a pet?;Hai un animale domestico?;¿Tienes una mascota?
Yes, I have a dog.;Sì, ho un cane.;Sí, tengo un perro.
What do you do in your free time?;Cosa fai nel tempo libero?;¿Qué haces en tu tiempo libre?
I like reading books.;Mi piace leggere libri.;Me gusta leer libros.
What kind of books do you like?;Che tipo di libri ti piacciono?;¿Qué tipo de libros te gustan?
I like novels.;Mi piacciono i romanzi.;Me gustan las novelas.
Where is the bathroom?;Dov’è il bagno?;¿Dónde está el baño?
It’s down the hall.;È in fondo al corridoio.;Está al final del pasillo.
How are you feeling today?;Come ti senti oggi?;¿Cómo te sientes hoy?
I feel great, thank you.;Mi sento benissimo, grazie.;Me siento genial, gracias.
Can you speak slowly, please?;Puoi parlare lentamente, per favore?;¿Puedes hablar despacio, por favor?
Yes, no problem.;Sì, nessun problema.;Sí, no hay problema.
What’s your name?;Come ti chiami?;¿Cómo te llamas?
My name is Maria.;Mi chiamo Maria.;Me llamo María.
Where are you from?;Da dove vieni?;¿De dónde eres?
I am from Italy.;Sono italiano.;Soy de Italia.
How old are you?;Quanti anni hai?;¿Cuántos años tienes?
I am twenty-five years old.;Ho venticinque anni.;Tengo veinticinco años.
Can you repeat that, please?;Puoi ripetere, per favore?;¿Puedes repetir eso, por favor?
Of course.;Certo.;Claro.
How much does this cost?;Quanto costa questo?;¿Cuánto cuesta esto?
It costs ten euros.;Costa dieci euro.;Cuesta diez euros.
What is your favorite food?;Qual è il tuo cibo preferito?;¿Cuál es tu comida favorita?
I love pasta.;Adoro la pasta.;Me encanta la pasta.
Do you have any children?;Hai figli?;¿Tienes hijos?
No, I don’t have children.;No, non ho figli.;No, no tengo hijos.
Do you have a favorite place to travel?;Hai un posto preferito dove viaggiare?;¿Tienes un lugar favorito para viajar?
Yes, I love Paris.;Sì, amo Parigi.;Sí, me encanta París.
How long will you stay here?;Quanto tempo rimarrai qui?;¿Cuánto tiempo te quedarás aquí?
I will stay for two weeks.;Rimarrò per due settimane.;Me quedaré dos semanas.
Are you hungry?;Hai fame?;¿Tienes hambre?
Yes, I would like to eat something.;Sì, vorrei mangiare qualcosa.;Sí, me gustaría comer algo.
What time is the meeting?;A che ora è la riunione?;¿A qué hora es la reunión?
It’s at three o’clock.;È alle tre.;Es a las tres.
How can I help you?;Come posso aiutarti?;¿Cómo puedo ayudarte?
I’m looking for a bookstore.;Sto cercando una libreria.;Estoy buscando una librería.
What do you think about this place?;Cosa ne pensi di questo posto?;¿Qué piensas de este lugar?
I think it’s wonderful.;Penso che sia meraviglioso.;Creo que es maravilloso.
Can you call me a taxi?;Puoi chiamarmi un taxi?;¿Puedes llamarme un taxi?
Sure, I’ll call one for you.;Certo, te ne chiamo uno.;Claro, te llamo uno.
Are you ready to go?;Sei pronto per andare?;¿Estás listo para ir?
Yes, I’m ready.;Sì, sono pronto.;Sí, estoy listo.
What’s the weather like?;Com’è il tempo?;¿Cómo está el clima?
It’s sunny today.;Oggi è soleggiato.;Hoy está soleado.
Do you need anything else?;Hai bisogno di qualcos’altro?;¿Necesitas algo más?
No, that’s all, thank you.;No, è tutto, grazie.;No, eso es todo, gracias.
Are you okay?;Stai bene?;¿Estás bien?
Yes, I’m fine.;Sì, sto bene.;Sí, estoy bien.
Can you swim?;Sai nuotare?;¿Sabes nadar?
Yes, I love swimming.;Sì, amo nuotare.;Sí, me encanta nadar.
Where is the nearest hospital?;Dov’è l’ospedale più vicino?;¿Dónde está el hospital más cercano?
It’s three blocks away.;È a tre isolati.;Está a tres cuadras.
I have a book.;Ho un libro.;Tengo un libro.
She is very kind.;Lei è molto gentile.;Ella es muy amable.
Do you want some coffee?;Vuoi del caffè?;¿Quieres café?
We are going to the park.;Andiamo al parco.;Vamos al parque.
The kids play outside.;I bambini giocano fuori.;Los niños juegan afuera.
Can you help me?;Puoi aiutarmi?;¿Puedes ayudarme?
I like the view.;Mi piace la vista.;Me gusta la vista.
Where is the market?;Dov’è il mercato?;¿Dónde está el mercado?
I need to learn more.;Ho bisogno di imparare di più.;Necesito aprender más.
They live near the sea.;Vivono vicino al mare.;Viven cerca del mar.
What time do you wake up?;A che ora ti svegli?;¿A qué hora te despiertas?
I wake up at seven.;Mi sveglio alle sette.;Me despierto a las siete.
Do you exercise?;Fai esercizio?;¿Haces ejercicio?
Yes, I exercise every day.;Sì, mi alleno ogni giorno.;Sí, hago ejercicio todos los días.
Can you play the piano?;Sai suonare il pianoforte?;¿Sabes tocar el piano?
No, I can’t play the piano.;No, non so suonare il pianoforte.;No, no sé tocar el piano.
What are you studying?;Cosa stai studiando?;¿Qué estás estudiando?
I’m studying languages.;Sto studiando le lingue.;Estoy estudiando idiomas.
Where is your office?;Dov’è il tuo ufficio?;¿Dónde está tu oficina?
My office is downtown.;Il mio ufficio è in centro.;Mi oficina está en el centro.
How do you get to work?;Come vai al lavoro?;¿Cómo llegas al trabajo?
I take the subway.;Prendo la metropolitana.;Tomo el metro.
Do you like sports?;Ti piacciono gli sport?;¿Te gustan los deportes?
Yes, I like soccer.;Sì, mi piace il calcio.;Sí, me gusta el fútbol.
When is your birthday?;Quando è il tuo compleanno?;¿Cuándo es tu cumpleaños?
My birthday is in July.;Il mio compleanno è a luglio.;Mi cumpleaños es en julio.
Can you dance?;Sai ballare?;¿Sabes bailar?
Yes, a little.;Sì, un po’.;Sí, un poco.
Are you afraid of heights?;Hai paura delle altezze?;¿Tienes miedo a las alturas?
Yes, I am a little afraid.;Sì, ho un po’ di paura.;Sí, tengo un poco de miedo.
Do you like animals?;Ti piacciono gli animali?;¿Te gustan los animales?
Yes, I love animals.;Sì, adoro gli animali.;Sí, amo los animales.
Where did you go last weekend?;Dove sei andato lo scorso fine settimana?;¿A dónde fuiste el fin de semana pasado?
I went to the beach.;Sono andato al mare.;Fui a la playa.
What’s your favorite season?;Qual è la tua stagione preferita?;¿Cuál es tu estación favorita?
I love the spring.;Amo la primavera.;Me encanta la primavera.
Are you a morning person?;Sei una persona mattiniera?;¿Eres una persona mañanera?
Yes, I wake up early.;Sì, mi sveglio presto.;Sí, me levanto temprano.
How’s the traffic today?;Com’è il traffico oggi?;¿Cómo está el tráfico hoy?
The traffic is very heavy.;Il traffico è molto intenso.;El tráfico está muy pesado.
Do you want to take a walk?;Vuoi fare una passeggiata?;¿Quieres dar un paseo?
Yes, let’s go outside.;Sì, andiamo fuori.;Sí, vamos afuera.
How long have you been here?;Da quanto tempo sei qui?;¿Cuánto tiempo llevas aquí?
I’ve been here for a week.;Sono qui da una settimana.;Llevo aquí una semana.
Can you show me the way?;Puoi indicarmi la strada?;¿Puedes mostrarme el camino?
Yes, follow me.;Sì, seguimi.;Sígueme.
What’s your phone number?;Qual è il tuo numero di telefono?;¿Cuál es tu número de teléfono?
My number is 555-1234.;Il mio numero è 555-1234.;Mi número es 555-1234.
Are you feeling better?;Ti senti meglio?;¿Te sientes mejor?
Yes, thank you for asking.;Sì, grazie per averlo chiesto.;Sí, gracias por preguntar.
Where is the supermarket?;Dov’è il supermercato?;¿Dónde está el supermercado?
It’s two blocks from here.;È a due isolati da qui.;Está a dos cuadras de aquí.
Do you have any plans for the weekend?;Hai piani per il fine settimana?;¿Tienes planes para el fin de semana?
Yes, I’m going camping.;Sì, vado in campeggio.;Sí, voy a acampar.
What’s your favorite movie?;Qual è il tuo film preferito?;¿Cuál es tu película favorita?
I love “The Godfather.”;Amo “Il Padrino”.;Me encanta “El Padrino.”
Do you prefer coffee or tea?;Preferisci il caffè o il tè?;¿Prefieres café o té?
I prefer coffee.;Preferisco il caffè.;Prefiero el café.
Are you a student?;Sei uno studente?;¿Eres estudiante?
Yes, I’m studying at the university.;Sì, sto studiando all’università.;Sí, estudio en la universidad.
Do you enjoy cooking?;Ti piace cucinare?;¿Te gusta cocinar?
Yes, I love to cook.;Sì, adoro cucinare.;Sí, me encanta cocinar.
What kind of music do you like?;Che tipo di musica ti piace?;¿Qué tipo de música te gusta?
I like jazz.;Mi piace il jazz.;Me gusta el jazz.
Can you help me with this?;Puoi aiutarmi con questo?;¿Puedes ayudarme con esto?
Sure, I’d be happy to help.;Certo, sarò felice di aiutarti.;Claro, estaré encantado de ayudarte.
How do you like your coffee?;Come preferisci il caffè?;¿Cómo prefieres el café?
I like it with milk and sugar.;Lo preferisco con latte e zucchero.;Lo prefiero con leche y azúcar.
What time do you go to bed?;A che ora vai a letto?;¿A qué hora te acuestas?
I usually go to bed at ten.;Di solito vado a letto alle dieci.;Normalmente me acuesto a las diez.
Can you drive a car?;Sai guidare una macchina?;¿Sabes conducir un coche?
Yes, I have a driver’s license.;Sì, ho la patente.;Sí, tengo licencia de conducir.
Are you allergic to anything?;Sei allergico a qualcosa?;¿Eres alérgico a algo?
Yes, I’m allergic to peanuts.;Sì, sono allergico alle arachidi.;Sí, soy alérgico a los cacahuetes.
What’s the temperature today?;Qual è la temperatura oggi?;¿Cuál es la temperatura hoy?
It’s around twenty degrees.;È circa venti gradi.;Está alrededor de veinte grados.
Do you prefer books or movies?;Preferisci i libri o i film?;¿Prefieres libros o películas?
I prefer books.;Preferisco i libri.;Prefiero los libros.
Are you good at cooking?;Sei bravo a cucinare?;¿Eres bueno cocinando?
Yes, I cook well.;Sì, cucino bene.;Sí, cocino bien.
Do you like spicy food?;Ti piace il cibo piccante?;¿Te gusta la comida picante?
Yes, I love it.;Sì, lo adoro.;Sí, me encanta.
What’s your favorite city?;Qual è la tua città preferita?;¿Cuál es tu ciudad favorita?
I love Rome.;Amo Roma.;Me encanta Roma.
Can you ride a bike?;Sai andare in bicicletta?;¿Sabes andar en bicicleta?
Yes, I love biking.;Sì, adoro andare in bicicletta.;Sí, me encanta andar en bicicleta.
Are you afraid of the dark?;Hai paura del buio?;¿Tienes miedo a la oscuridad?
No, I’m not afraid.;No, non ho paura.;No, no tengo miedo.
Do you believe in ghosts?;Credi nei fantasmi?;¿Crees en los fantasmas?
No, I don’t believe in ghosts.;No, non credo nei fantasmi.;No, no creo en fantasmas.
Are you a good swimmer?;Sei un buon nuotatore?;¿Eres buen nadador?
Yes, I swim well.;Sì, nuoto bene.;Sí, nado bien.
Where do you want to travel next?;Dove vuoi viaggiare dopo?;¿A dónde quieres viajar después?
I want to go to Japan.;Voglio andare in Giappone.;Quiero ir a Japón.
Do you meditate?;Mediti?;¿Meditas?
Yes, I meditate every morning.;Sì, medito ogni mattina.;Sí, medito cada mañana.
Do you like going to the movies?;Ti piace andare al cinema?;¿Te gusta ir al cine?
Yes, I go often.;Sì, ci vado spesso.;Sí, voy a menudo.
Can you drive a motorcycle?;Sai guidare una moto?;¿Sabes conducir una motocicleta?
No, I can’t drive a motorcycle.;No, non so guidare una moto.;No, no sé conducir una motocicleta.
Are you interested in art?;Sei interessato all’arte?;¿Te interesa el arte?
Yes, I love visiting museums.;Sì, adoro visitare musei.;Sí, me encanta visitar museos.
What’s your favorite holiday?;Qual è la tua festa preferita?;¿Cuál es tu fiesta favorita?
She is very kind.;Lei è molto gentile.;Ella es muy amable.
We have been friends since childhood.;Siamo amici dall'infanzia.;Somos amigos desde la infancia.
I have finished the work.;Ho finito il lavoro.;He terminado el trabajo.
You have studied for the exam.;Hai studiato per l'esame.;Has estudiado para el examen.
I am tired after working all day.;Sono stanco dopo aver lavorato tutto il giorno.;Estoy cansado después de trabajar todo el día.
The store is closed.;Il negozio è chiuso.;La tienda está cerrada.
I have two brothers.;Ho due fratelli.;Tengo dos hermanos.
Do you have time to talk?;Hai tempo per parlare?;¿Tienes tiempo para hablar?
I exercise every morning.;Faccio esercizio ogni mattina.;Hago ejercicio cada mañana.
What are you doing this afternoon?;Cosa fai questo pomeriggio?;¿Qué haces esta tarde?
Can you help me with this?;Puoi aiutarmi con questo?;¿Puedes ayudarme con esto?
I cannot attend the meeting.;Non posso partecipare alla riunione.;No puedo asistir a la reunión.
He told me the truth.;Mi ha detto la verità.;Me dijo la verdad.
What do you say about this idea?;Cosa dici di questa idea?;¿Qué dices de esta idea?
We are going to the park.;Andiamo al parco.;Vamos al parque.
Are you going to the party tomorrow?;Vai alla festa domani?;¿Vas a la fiesta mañana?
I am watching a movie.;Sto guardando un film.;Veo una película.
Did you see what happened?;Hai visto cosa è successo?;¿Viste lo que pasó?
I give you my number.;Ti do il mio numero.;Te doy mi número.
They gave me a gift.;Mi hanno dato un regalo.;Me dieron un regalo.
I know the answer.;So la risposta.;Sé la respuesta.
Do you know how to get there?;Sai come arrivarci?;¿Sabes cómo llegar allí?
I want to learn Spanish.;Voglio imparare lo spagnolo.;Quiero aprender español.
I love you very much.;Ti amo molto.;Te quiero mucho.
We arrived early.;Siamo arrivati presto.;Llegamos temprano.
What time do you arrive?;A che ora arrivi?;¿A qué hora llegas?
I spent all day studying.;Ho passato tutto il giorno a studiare.;Pasé todo el día estudiando.
What is happening here?;Cosa sta succedendo qui?;¿Qué pasa aquí?
You should study for the exam.;Dovresti studiare per l'esame.;Debes estudiar para el examen.
I must call my parents.;Devo chiamare i miei genitori.;Debo llamar a mis padres.
I set the table for dinner.;Apparecchio la tavola per cena.;Pongo la mesa para cenar.
Can you put the book here?;Puoi mettere il libro qui?;¿Puedes poner el libro aquí?
It seems like a good idea.;Sembra una buona idea.;Parece una buena idea.
She seems tired.;Sembra stanca.;Ella parece cansada.
I am staying home today.;Rimango a casa oggi.;Me quedo en casa hoy.
There are few seats left.;Rimangono pochi posti.;Quedan pocos asientos.
I believe in honesty.;Credo nell'onestà.;Creo en la honestidad.
Do you believe in luck?;Credi nella fortuna?;¿Crees en la suerte?
We talked on the phone.;Abbiamo parlato al telefono.;Hablamos por teléfono.
Can you speak more slowly?;Puoi parlare più lentamente?;¿Puedes hablar más despacio?
I am wearing a jacket.;Indosso una giacca.;Llevo una chaqueta.
We take the dog to the vet.;Portiamo il cane dal veterinario.;Llevamos el perro al veterinario.
I left my keys on the table.;Ho lasciato le chiavi sul tavolo.;Dejé mis llaves en la mesa.
Can you let me use your pen?;Mi lasci usare la tua penna?;¿Me dejas usar tu bolígrafo?
I keep studying.;Continuo a studiare.;Sigo estudiando.
